timestamp,price,datetime,last_digit
1758273440,1108.65,2025-09-19 09:17:20,5
1758273442,1108.73,2025-09-19 09:17:22,3
1758273444,1108.76,2025-09-19 09:17:24,6
1758273446,1109.09,2025-09-19 09:17:26,9
1758273448,1108.6,2025-09-19 09:17:28,6
1758273450,1108.67,2025-09-19 09:17:30,7
1758273452,1108.55,2025-09-19 09:17:32,5
1758273454,1108.25,2025-09-19 09:17:34,5
1758273456,1108.34,2025-09-19 09:17:36,4
1758273458,1108.21,2025-09-19 09:17:38,1
1758273460,1108.4,2025-09-19 09:17:40,4
1758273462,1108.79,2025-09-19 09:17:42,9
1758273464,1109.28,2025-09-19 09:17:44,8
1758273466,1109.14,2025-09-19 09:17:46,4
1758273468,1109.32,2025-09-19 09:17:48,2
1758273470,1109.64,2025-09-19 09:17:50,4
1758273472,1109.44,2025-09-19 09:17:52,4
1758273474,1109.69,2025-09-19 09:17:54,9
1758273476,1109.73,2025-09-19 09:17:56,3
1758273478,1109.51,2025-09-19 09:17:58,1
1758273480,1109.79,2025-09-19 09:18:00,9
1758273482,1109.39,2025-09-19 09:18:02,9
1758273484,1109.91,2025-09-19 09:18:04,1
1758273486,1109.88,2025-09-19 09:18:06,8
1758273488,1109.9,2025-09-19 09:18:08,9
1758273490,1110.29,2025-09-19 09:18:10,9
1758273492,1110.16,2025-09-19 09:18:12,6
1758273494,1110.56,2025-09-19 09:18:14,6
1758273496,1110.79,2025-09-19 09:18:16,9
1758273498,1111.06,2025-09-19 09:18:18,6
1758273500,1111.06,2025-09-19 09:18:20,6
1758273502,1111.03,2025-09-19 09:18:22,3
1758273504,1111.01,2025-09-19 09:18:24,1
1758273506,1111.6,2025-09-19 09:18:26,6
1758273508,1111.31,2025-09-19 09:18:28,1
1758273510,1111.1,2025-09-19 09:18:30,1
1758273512,1110.76,2025-09-19 09:18:32,6
1758273514,1110.85,2025-09-19 09:18:34,5
1758273516,1110.66,2025-09-19 09:18:36,6
1758273518,1110.42,2025-09-19 09:18:38,2
1758273520,1110.61,2025-09-19 09:18:40,1
1758273522,1110.88,2025-09-19 09:18:42,8
1758273524,1110.96,2025-09-19 09:18:44,6
1758273526,1110.91,2025-09-19 09:18:46,1
1758273528,1110.97,2025-09-19 09:18:48,7
1758273530,1111.23,2025-09-19 09:18:50,3
1758273532,1111.52,2025-09-19 09:18:52,2
1758273534,1111.45,2025-09-19 09:18:54,5
1758273536,1111.04,2025-09-19 09:18:56,4
1758273538,1111.26,2025-09-19 09:18:58,6
1758273540,1110.99,2025-09-19 09:19:00,9
1758273542,1111.22,2025-09-19 09:19:02,2
1758273544,1110.71,2025-09-19 09:19:04,1
1758273546,1110.62,2025-09-19 09:19:06,2
1758273548,1110.87,2025-09-19 09:19:08,7
1758273550,1110.94,2025-09-19 09:19:10,4
1758273552,1110.94,2025-09-19 09:19:12,4
1758273554,1111.13,2025-09-19 09:19:14,3
1758273556,1110.44,2025-09-19 09:19:16,4
1758273558,1110.61,2025-09-19 09:19:18,1
1758273560,1110.65,2025-09-19 09:19:20,5
1758273562,1110.73,2025-09-19 09:19:22,3
1758273564,1110.61,2025-09-19 09:19:24,1
1758273566,1110.01,2025-09-19 09:19:26,1
1758273568,1109.88,2025-09-19 09:19:28,8
1758273570,1109.99,2025-09-19 09:19:30,9
1758273572,1110.07,2025-09-19 09:19:32,7
1758273574,1109.8,2025-09-19 09:19:34,8
1758273576,1109.63,2025-09-19 09:19:36,3
